,name,hof_prob,hof,hof_prob_pct
638,Manny Trillo,0.0,No,0.0%
639,Mickey Morandini,0.0,No,0.0%
640,Cookie Rojas,0.0,No,0.0%
641,Tito Fuentes,0.0,No,0.0%
642,Sandy Alomar,0.0,No,0.0%
643,Rickie Weeks,0.0,No,0.0%
644,Julián Javier,0.0,No,0.0%
645,Jerry Lumpe,0.0,No,0.0%
646,Jorge Orta,0.0,No,0.0%
647,Edgardo Alfonzo,0.0,No,0.0%
648,Richie Hebner,0.0,No,0.0%
649,Buddy Lewis,0.0,No,0.0%
650,Juan Uribe,0.0,No,0.0%
651,Héctor López,0.0,No,0.0%
652,Dean Palmer,0.0,No,0.0%
653,Ray Knight,0.0,No,0.0%
654,David Bell,0.0,No,0.0%
655,Larry Parrish,0.0,No,0.0%
656,Aurelio Rodríguez,0.0,No,0.0%
657,Brook Jacoby,0.0,No,0.0%
658,Frank Malzone,0.0,No,0.0%
659,Todd Zeile,0.0,No,0.0%
660,Brandon Inge,0.0,No,0.0%
661,Joe Randa,0.0,No,0.0%
662,Vinny Castilla,0.0,No,0.0%
663,Doug Rader,0.0,No,0.0%
664,Melvin Mora,0.0,No,0.0%
665,Ken Oberkfell,0.0,No,0.0%
666,Chone Figgins,0.0,No,0.0%
667,Willie Jones,0.0,No,0.0%
668,Howard Johnson,0.0,No,0.0%
669,Casey Blake,0.0,No,0.0%
670,Mike Lowell,0.0,No,0.0%
671,Ray Boone,0.0,No,0.0%
672,Chase Headley,0.0,No,0.0%
673,Clete Boyer,0.0,No,0.0%
674,Bob Bailey,0.0,No,0.0%
675,Martín Prado,0.0,No,0.0%
676,Kevin Seitzer,0.0,No,0.0%
677,Keith Moreland,0.0,No,0.0%
